Title,ParkType,Bookmark
Annual Park Ranking Report for Recreation Visits in: 2020,Park Type: (All),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Park%20Ranking%20Report%20(1979%20-%20Last%20Calendar%20Year)

ParkName,Rank,Value,PercentOfTotal
Blue Ridge PKWY,1,"14,099,485",5.95%
Golden Gate NRA,2,"12,400,045",5.23%
Great Smoky Mountains NP,3,"12,095,720",5.10%
Gateway NRA,4,"8,404,728",3.55%
Lake Mead NRA,5,"8,016,510",3.38%
George Washington MEM PKWY,6,"6,237,361",2.63%
Natchez Trace PKWY,7,"6,124,808",2.58%
Chesapeake & Ohio Canal NHP,8,"4,888,436",2.06%
Cape Cod NS,9,"4,083,505",1.72%
Delaware Water Gap NRA,10,"4,068,529",1.72%
Gulf Islands NS,11,"4,012,129",1.69%
Yellowstone NP,12,"3,806,306",1.61%
Zion NP,13,"3,591,254",1.51%
Rocky Mountain NP,14,"3,305,199",1.39%
Grand Teton NP,15,"3,289,638",1.39%
Chattahoochee River NRA,16,"3,066,877",1.29%
Lincoln Memorial,17,"2,980,075",1.26%
Colonial NHP,18,"2,946,594",1.24%
Grand Canyon NP,19,"2,897,098",1.22%
Cuyahoga Valley NP,20,"2,755,628",1.16%
Acadia NP,21,"2,669,034",1.13%
Cape Hatteras NS,22,"2,648,522",1.12%
Glen Canyon NRA,23,"2,553,392",1.08%
Olympic NP,24,"2,499,177",1.05%
Assateague Island NS,25,"2,481,660",1.05%
Joshua Tree NP,26,"2,399,542",1.01%
Kennesaw Mountain NBP,27,"2,356,401",0.99%
Indiana Dunes NP,28,"2,293,106",0.97%
Yosemite NP,29,"2,268,313",0.96%
Point Reyes NS,30,"2,252,424",0.95%
Mount Rushmore NMEM,31,"2,074,986",0.88%
Valley Forge NHP,32,"2,012,832",0.85%
San Francisco Maritime NHP,33,"1,936,101",0.82%
World War II Memorial,34,"1,924,128",0.81%
Rock Creek Park,35,"1,768,152",0.75%
Sleeping Bear Dunes NL,36,"1,718,696",0.72%
Glacier NP,37,"1,698,864",0.72%
Shenandoah NP,38,"1,666,265",0.70%
Lake Meredith NRA,39,"1,612,784",0.68%
Vietnam Veterans MEM,40,"1,585,525",0.67%
Lake Roosevelt NRA,41,"1,519,403",0.64%
Buffalo NR,42,"1,478,846",0.62%
Bryce Canyon NP,43,"1,464,655",0.62%
Amistad NRA,44,"1,424,139",0.60%
"John D. Rockefeller, Jr. MEM PKWY",45,"1,373,817",0.58%
Korean War Veterans Memorial,46,"1,363,714",0.58%
Hot Springs NP,47,"1,348,215",0.57%
Chickasaw NRA,48,"1,348,122",0.57%
Ozark NSR,49,"1,316,795",0.56%
Arches NP,50,"1,238,083",0.52%
Pictured Rocks NL,51,"1,212,251",0.51%
Big Cypress NPRES,52,"1,181,930",0.50%
Canaveral NS,53,"1,162,950",0.49%
Mount Rainier NP,54,"1,160,754",0.49%
San Antonio Missions NHP,55,"1,141,353",0.48%
Minute Man NHP,56,"1,083,973",0.46%
"Martin Luther King, Jr. Memorial",57,"1,083,671",0.46%
New River Gorge NP & PRES,58,"1,054,374",0.44%
Timucuan EHP,59,"1,017,373",0.43%
Franklin Delano Roosevelt MEM,60,"1,010,986",0.43%
Capitol Reef NP,61,"981,038",0.41%
Curecanti NRA,62,"921,584",0.39%
Ross Lake NRA,63,"920,526",0.39%
Badlands NP,64,"916,932",0.39%
Independence NHP,65,"907,090",0.38%
National Capital Parks East,66,"893,421",0.38%
Fort Point NHS,67,"884,538",0.37%
Thomas Jefferson MEM,68,"852,626",0.36%
Cedar Breaks NM,69,"845,867",0.36%
Fredericksburg & Spotsylvania NMP,70,"838,835",0.35%
Death Valley NP,71,"820,023",0.35%
Whiskeytown NRA,72,"805,295",0.34%
Little River Canyon NPRES,73,"802,375",0.34%
Saint Croix NSR,74,"798,622",0.34%
Sequoia NP,75,"796,086",0.34%
Big South Fork NRRA,76,"772,625",0.33%
Saguaro NP,77,"762,226",0.32%
Cumberland Gap NHP,78,"735,447",0.31%
Santa Monica Mountains NRA,79,"733,576",0.31%
Everglades NP,80,"702,319",0.30%
Chickamauga & Chattanooga NMP,81,"678,414",0.29%
Crater Lake NP,82,"670,500",0.28%
Fort Vancouver NHS,83,"670,111",0.28%
National Capital Parks Central,84,"665,650",0.28%
Castle Clinton NM,85,"633,793",0.27%
Padre Island NS,86,"617,704",0.26%
Mojave NPRES,87,"608,633",0.26%
Hawaii Volcanoes NP,88,"589,775",0.25%
Statue of Liberty NM,89,"576,396",0.24%
Manassas NBP,90,"558,036",0.24%
Theodore Roosevelt NP,91,"551,303",0.23%
Fort Matanzas NM,92,"543,590",0.23%
Lassen Volcanic NP,93,"542,274",0.23%
Catoctin Mountain Park,94,"539,983",0.23%
Gettysburg NMP,95,"536,553",0.23%
Cabrillo NM,96,"523,878",0.22%
Canyonlands NP,97,"493,914",0.21%
Cape Lookout NS,98,"488,331",0.21%
Gateway Arch NP,99,"486,021",0.21%
Great Sand Dunes NP & PRES,100,"461,532",0.19%
Wind Cave NP,101,"448,405",0.19%
Colorado NM,102,"435,625",0.18%
San Juan Island NHP,103,"426,335",0.18%
Devils Tower NM,104,"423,997",0.18%
Pearl Harbor NMEM,105,"415,542",0.18%
White Sands NP,106,"415,383",0.18%
Kings Canyon NP,107,"415,077",0.18%
Fort Caroline NMEM,108,"404,476",0.17%
Biscayne NP,109,"402,770",0.17%
Big Bend NP,110,"393,907",0.17%
Shiloh NMP,111,"386,883",0.16%
Petrified Forest NP,112,"384,483",0.16%
President's Park,113,"369,533",0.16%
Fort Sumter and Fort Moultrie NHP,114,"365,133",0.15%
Fort Pulaski NM,115,"357,970",0.15%
San Juan NHS,116,"357,100",0.15%
Petroglyph NM,117,"356,492",0.15%
Black Canyon of the Gunnison NP,118,"341,620",0.14%
Paterson Great Falls NHP,119,"339,768",0.14%
Prince William Forest Park,120,"333,903",0.14%
Fort Donelson NB,121,"325,496",0.14%
Muir Woods NM,122,"324,232",0.14%
Haleakala NP,123,"319,147",0.13%
War in the Pacific NHP,124,"318,711",0.13%
River Raisin NBP,125,"309,977",0.13%
Big Thicket NPRES,126,"309,053",0.13%
Nez Perce NHP,127,"301,473",0.13%
Stones River NB,128,"301,270",0.13%
Mammoth Cave NP,129,"290,392",0.12%
Mesa Verde NP,130,"287,477",0.12%
Wilson's Creek NB,131,"287,260",0.12%
Wright Brothers NMEM,132,"277,963",0.12%
Boston NHP,133,"277,170",0.12%
Redwood NP,134,"265,177",0.11%
Dinosaur NM,135,"264,145",0.11%
Voyageurs NP,136,"263,091",0.11%
Morristown NHP,137,"262,361",0.11%
Castillo de San Marcos NM,138,"251,061",0.11%
Craters of the Moon NM & PRES,139,"250,872",0.11%
Fire Island NS,140,"250,449",0.11%
Upper Delaware S&RR,141,"250,198",0.11%
Kings Mountain NMP,142,"249,477",0.11%
Flight 93 NMEM,143,"244,364",0.10%
Montezuma Castle NM,144,"242,028",0.10%
Obed W&SR,145,"237,837",0.10%
Harpers Ferry NHP,146,"234,473",0.10%
Abraham Lincoln Birthplace NHP,147,"228,141",0.10%
Cowpens NB,148,"226,903",0.10%
Apostle Islands NL,149,"219,009",0.09%
Vanderbilt Mansion NHS,150,"217,231",0.09%
Bighorn Canyon NRA,151,"212,295",0.09%
LBJ Memorial Grove on the Potomac,152,"211,228",0.09%
Fort Frederica NM,153,"210,892",0.09%
Mississippi NRRA,154,"204,707",0.09%
Fort Necessity NB,155,"199,801",0.08%
"Martin Luther King, Jr. NHP",156,"198,158",0.08%
De Soto NMEM,157,"196,114",0.08%
Jean Lafitte NHP & PRES,158,"192,601",0.08%
Organ Pipe Cactus NM,159,"191,512",0.08%
Dwight D. Eisenhower MEM,160,"187,328",0.08%
Guilford Courthouse NMP,161,"186,020",0.08%
Carlsbad Caverns NP,162,"183,835",0.08%
Scotts Bluff NM,163,"181,900",0.08%
Richmond NBP,164,"179,598",0.08%
Vicksburg NMP,165,"176,236",0.07%
Virgin Islands NP,166,"167,540",0.07%
Channel Islands NP,167,"167,290",0.07%
Piscataway Park,168,"166,484",0.07%
Pinnacles NP,169,"165,740",0.07%
Fort McHenry NM & HS,170,"163,224",0.07%
Lewis & Clark NHP,171,"161,230",0.07%
Fort Washington Park,172,"160,289",0.07%
Coronado NMEM,173,"156,199",0.07%
Monocacy NB,174,"155,116",0.07%
Theodore Roosevelt Island,175,"153,598",0.06%
Fort Raleigh NHS,176,"153,519",0.06%
Petersburg NB,177,"152,878",0.06%
Guadalupe Mountains NP,178,"151,256",0.06%
Wupatki NM,179,"146,074",0.06%
El Malpais NM,180,"139,336",0.06%
Allegheny Portage Railroad NHS,181,"136,029",0.06%
Kaloko Honokohau NHP,182,"133,877",0.06%
Pu'uhonua o Honaunau NHP,183,"130,845",0.06%
Salem Maritime NHS,184,"125,554",0.05%
Great Basin NP,185,"120,248",0.05%
Congaree NP,186,"119,306",0.05%
Kenai Fjords NP,187,"115,882",0.05%
Sitka NHP,188,"115,494",0.05%
White House,189,"114,519",0.05%
Missouri NRR,190,"111,602",0.05%
Lava Beds NM,191,"111,258",0.05%
Lincoln Boyhood NMEM,192,"110,692",0.05%
City of Rocks NRES,193,"110,203",0.05%
Gauley River NRA,194,"109,378",0.05%
Devils Postpile NM,195,"108,590",0.05%
Walnut Canyon NM,196,"107,422",0.05%
Sagamore Hill NHS,197,"105,289",0.04%
Governors Island NM,198,"102,915",0.04%
Niobrara NSR,199,"102,766",0.04%
Minuteman Missile NHS,200,"98,908",0.04%
Palo Alto Battlefield NHP,201,"97,860",0.04%
Little Bighorn Battlefield NM,202,"97,461",0.04%
Ninety Six NHS,203,"95,418",0.04%
Bandelier NM,204,"94,948",0.04%
Timpanogos Cave NM,205,"92,481",0.04%
Boston African American NHS,206,"89,616",0.04%
John Day Fossil Beds NM,207,"88,571",0.04%
Johnstown Flood NMEM,208,"87,805",0.04%
Antietam NB,209,"85,884",0.04%
Sunset Crater Volcano NM,210,"83,669",0.04%
Washington Monument,211,"83,585",0.04%
Pea Ridge NMP,212,"80,455",0.03%
Tuzigoot NM,213,"78,358",0.03%
Canyon de Chelly NM,214,"76,752",0.03%
Lyndon B. Johnson NHP,215,"75,322",0.03%
Saratoga NHP,216,"73,825",0.03%
Boston Harbor Islands NRA,217,"71,991",0.03%
Little Rock Central High School NHS,218,"68,497",0.03%
Fort Smith NHS,219,"67,574",0.03%
Grand Portage NM,220,"66,426",0.03%
Manzanar NHS,221,"65,289",0.03%
Andersonville NHS,222,"63,799",0.03%
Capulin Volcano NM,223,"63,335",0.03%
Ocmulgee Mounds NHP,224,"61,303",0.03%
Florissant Fossil Beds NM,225,"61,081",0.03%
Moores Creek NB,226,"58,786",0.02%
Natchez NHP,227,"57,646",0.02%
Appomattox Court House NHP,228,"57,513",0.02%
Herbert Hoover NHS,229,"56,270",0.02%
George Rogers Clark NHP,230,"56,108",0.02%
Ford's Theatre NHS,231,"56,058",0.02%
Denali NP & PRES,232,"54,850",0.02%
Lowell NHP,233,"53,954",0.02%
Golden Spike NHP,234,"53,106",0.02%
Natural Bridges NM,235,"52,542",0.02%
Katmai NP & PRES,236,"51,511",0.02%
Dry Tortugas NP,237,"48,543",0.02%
Waco Mammoth NM,238,"46,457",0.02%
Andrew Johnson NHS,239,"46,092",0.02%
Chiricahua NM,240,"44,794",0.02%
Casa Grande Ruins NM,241,"44,269",0.02%
Carl Sandburg Home NHS,242,"42,672",0.02%
George Washington Birthplace NM,243,"41,970",0.02%
Katahdin Woods and Waters NM,244,"41,432",0.02%
Homestead NM of America,245,"40,897",0.02%
Perry's Victory & Intl. Peace MEM,246,"40,469",0.02%
Home of Franklin D. Roosevelt NHS,247,"40,091",0.02%
Dayton Aviation Heritage NHP,248,"39,851",0.02%
Pipestone NM,249,"38,229",0.02%
Cumberland Island NS,250,"37,295",0.02%
Pecos NHP,251,"36,695",0.02%
El Morro NM,252,"36,328",0.02%
Big Hole NB,253,"36,234",0.02%
Fort Davis NHS,254,"35,920",0.02%
Jewel Cave NM,255,"35,878",0.02%
Hopewell Culture NHP,256,"35,710",0.02%
Whitman Mission NHS,257,"34,933",0.01%
Hopewell Furnace NHS,258,"34,288",0.01%
John Muir NHS,259,"33,603",0.01%
Gila Cliff Dwellings NM,260,"31,645",0.01%
North Cascades NP,261,"30,885",0.01%
Lake Chelan NRA,262,"30,598",0.01%
Valles Caldera NPRES,263,"30,434",0.01%
Aztec Ruins NM,264,"30,223",0.01%
Wolf Trap NP for the Performing Arts,265,"30,073",0.01%
Longfellow House Washington's HQ NHS,266,"30,014",0.01%
Arkansas Post NMEM,267,"29,653",0.01%
Tallgrass Prairie NPRES,268,"29,009",0.01%
Horseshoe Bend NMP,269,"28,600",0.01%
Greenbelt Park,270,"28,319",0.01%
Lincoln Home NHS,271,"27,744",0.01%
Steamtown NHS,272,"27,322",0.01%
Salinas Pueblo Missions NM,273,"26,982",0.01%
George Washington Carver NM,274,"26,569",0.01%
Fort Laramie NHS,275,"26,066",0.01%
Weir Farm NHS,276,"25,430",0.01%
Bluestone NSR,277,"25,207",0.01%
Tonto NM,278,"24,756",0.01%
General Grant NMEM,279,"24,475",0.01%
Fort Stanwix NM,280,"24,134",0.01%
Pu'ukohola Heiau NHS,281,"23,970",0.01%
Christiansted NHS,282,"23,816",0.01%
Tumacacori NHP,283,"23,726",0.01%
Charles Pinckney NHS,284,"23,723",0.01%
Marsh-Billings-Rockefeller NHP,285,"23,538",0.01%
Hamilton Grange NMEM,286,"23,015",0.01%
Oregon Caves NM & PRES,287,"22,789",0.01%
Booker T. Washington NM,288,"22,482",0.01%
Fort Larned NHS,289,"21,895",0.01%
Hovenweep NM,290,"19,856",0.01%
Friendship Hill NHS,291,"19,462",0.01%
Chamizal NMEM,292,"19,180",0.01%
New Bedford Whaling NHP,293,"18,243",0.01%
Effigy Mounds NM,294,"18,225",0.01%
Cane River Creole NHP,295,"17,430",0.01%
Saugus Iron Works NHS,296,"16,928",0.01%
Wrangell-St. Elias NP & PRES,297,"16,655",0.01%
Buck Island Reef NM,298,"16,032",0.01%
Pennsylvania Avenue NHS,299,"15,898",0.01%
Kalaupapa NHP,300,"15,847",0.01%
Grant-Kohrs Ranch NHS,301,"15,328",0.01%
Ulysses S. Grant NHS,302,"15,236",0.01%
James A. Garfield NHS,303,"14,797",0.01%
Fort Scott NHS,304,"14,652",0.01%
Eugene O'Neill NHS,305,"14,423",0.01%
Jimmy Carter NHS,306,"14,267",0.01%
Hagerman Fossil Beds NM,307,"14,113",0.01%
Roger Williams NMEM,308,"13,971",0.01%
Federal Hall NMEM,309,"13,822",0.01%
Saint-Gaudens NHP,310,"13,286",0.01%
Fossil Butte NM,311,"13,176",0.01%
Klondike Gold Rush NHP Seattle,312,"13,003",0.01%
Noatak NPRES,313,"12,533",0.01%
Washita Battlefield NHS,314,"12,520",0.01%
Bent's Old Fort NHS,315,"12,438",0.01%
Martin Van Buren NHS,316,"11,480",0.00%
Hubbell Trading Post NHS,317,"11,407",0.00%
Manhattan Project NHP,318,"11,392",0.00%
Cape Krusenstern NM,319,"11,369",0.00%
Kobuk Valley NP,320,"11,185",0.00%
William Howard Taft NHS,321,"11,100",0.00%
Frederick Douglass NHS,322,"10,969",0.00%
Pipe Spring NM,323,"10,623",0.00%
New Orleans Jazz NHP,324,"9,640",0.00%
Eleanor Roosevelt NHS,325,"9,575",0.00%
Rosie The Riveter WWII Home Front NHP,326,"9,528",0.00%
Harry S Truman NHS,327,"9,446",0.00%
Hampton NHS,328,"8,728",0.00%
Agate Fossil Beds NM,329,"8,722",0.00%
Russell Cave NM,330,"8,462",0.00%
Women's Rights NHP,331,"8,237",0.00%
Chaco Culture NHP,332,"8,231",0.00%
Eisenhower NHS,333,"7,926",0.00%
African Burial Ground NM,334,"7,908",0.00%
Thomas Edison NHP,335,"7,605",0.00%
Adams NHP,336,"6,937",0.00%
Saint Croix Island IHS,337,"6,914",0.00%
Tuskegee Airmen NHS,338,"6,843",0.00%
Minidoka NHS,339,"6,747",0.00%
Isle Royale NP,340,"6,493",0.00%
Fort Bowie NHS,341,"6,456",0.00%
Saint Paul's Church NHS,342,"5,968",0.00%
Glacier Bay NP & PRES,343,"5,748",0.00%
Cesar E. Chavez NM,344,"5,668",0.00%
Fort Union NM,345,"5,334",0.00%
Knife River Indian Villages NHS,346,"5,263",0.00%
Fort Union Trading Post NHS,347,"5,225",0.00%
Theodore Roosevelt Inaugural NHS,348,"5,098",0.00%
Theodore Roosevelt Birthplace NHS,349,"4,984",0.00%
Lake Clark NP & PRES,350,"4,948",0.00%
National Park of American Samoa,351,"4,819",0.00%
Tuskegee Institute NHS,352,"4,737",0.00%
Alibates Flint Quarries NM,353,"4,269",0.00%
Sand Creek Massacre NHS,354,"4,215",0.00%
Brown v. Board of Education NHS,355,"4,064",0.00%
President W.J. Clinton Birthplace Home NHS,356,"4,055",0.00%
Navajo NM,357,"3,985",0.00%
Rainbow Bridge NM,358,"3,573",0.00%
Gates of the Arctic NP & PRES,359,"2,872",0.00%
Salt River Bay NHP & Ecological Pres,360,"2,704",0.00%
Bering Land Bridge NPRES,361,"2,642",0.00%
Frederick Law Olmsted NHS,362,"2,570",0.00%
Belmont-Paul Women's Equality NM,363,"2,535",0.00%
Charles Young Buffalo Soldiers NM,364,"2,461",0.00%
Edgar Allan Poe NHS,365,"2,418",0.00%
First Ladies NHS,366,"2,406",0.00%
Thomas Stone NHS,367,"2,351",0.00%
Keweenaw NHP,368,"2,130",0.00%
Maggie L. Walker NHS,369,"1,849",0.00%
Springfield Armory NHS,370,"1,032",0.00%
Yukon-Charley Rivers NPRES,371,666,0.00%
Mary McLeod Bethune Council House NHS,372,578,0.00%
Carter G. Woodson Home NHS,373,548,0.00%
John F. Kennedy NHS,374,451,0.00%
Clara Barton NHS,375,450,0.00%
Klondike Gold Rush NHP Alaska,376,297,0.00%
Nicodemus NHS,377,262,0.00%
Rio Grande W&SR,378,126,0.00%
Port Chicago Naval Magazine NMEM,379,70,0.00%
Aniakchak NM & PRES,380,36,0.00%

